url,AirportName,ICAO,IATA,CityServed,
http://indonesiaairport.com/provinces/maluku_islands/amahai_airport.htm,AmahaiAirport,WAPA,AHI,Amahai,
http://indonesiaairport.com/provinces/maluku_islands/pattimura_airport.htm,PattimuraAirport,WAPP,AMQ,Ambon,
http://indonesiaairport.com/provinces/maluku_islands/bandanaira_airport.htm,BandanairaAirport,WAPC,NDA,Banda,
http://indonesiaairport.com/provinces/maluku_islands/nangasuri_aru_airport.htm,NangasuriAruAirport,WAPK,BJK,Benjina,
http://indonesiaairport.com/provinces/maluku_islands/buli_airport.htm,BuliAirport,WAEM,WUB,Buli,
http://indonesiaairport.com/provinces/maluku_islands/dobo_airport.htm,DoboAirport,WAPD,DOB,Dobo,
http://indonesiaairport.com/provinces/maluku_islands/gamar_malamo_airport.htm,GamarMalamoAirport,WAEG,GLX,Galela,
http://indonesiaairport.com/provinces/maluku_islands/kao_airport.htm,KaoAirport,WAEK,KAZ,Kao,
http://indonesiaairport.com/provinces/maluku_islands/oesman_sadik_airport.htm,OesmanSadikAirport,WAEL,LAH,Labuha,
http://indonesiaairport.com/provinces/maluku_islands/dumatubun_airport.htm,DumatubunAirport,,,Tual,
http://indonesiaairport.com/provinces/maluku_islands/jos_orno_imsula_airport.htm,JosOrnoImsulaAirport,,JIO,MoaIsland,
http://indonesiaairport.com/provinces/maluku_islands/leo_wattimena_airport.htm,LeoWattimenaAirport,WAMR,OTI,MorotaiIsland,
http://indonesiaairport.com/provinces/maluku_islands/namlea_airport.htm,NamleaAirport,WAPR,NAM,Namlea,
http://indonesiaairport.com/provinces/maluku_islands/namrole_airport.htm,NamroleAirport,WAPG,NRE,Namrole,
http://indonesiaairport.com/provinces/maluku_islands/mathilda_batlayeri_airport.htm,MathildaBatlayeriAirport,WAPS,SXK,SaumlakiMaluku,
http://indonesiaairport.com/provinces/maluku_islands/sultan_babullah_airport.htm,SultanBabullahAirport,WAEE,TTE,Ternate,
http://indonesiaairport.com/provinces/maluku_islands/karel_sadsuitubun_airport.htm,KarelSadsuitubunAirport,WAPF,LUV,Tual,
,,,,,
