url,AirportName,ICAO,IATA,CityServed,
http://indonesiaairport.com/provinces/papua/anggi_airport.htm,AnggiAirport,WAUA,AGD,Anggi,
http://indonesiaairport.com/provinces/papua/ayawasi_airport.htm,AyawasiAirport,WASA,AYX,Ayawasi,
http://indonesiaairport.com/provinces/papua/babo_airport.htm,BaboAirport,WASO,BXB,Babo,
http://indonesiaairport.com/provinces/papua/frans_kaisiepo_airport.htm,FransKaisiepoAirport,WABB,BIK,Biak,
http://indonesiaairport.com/provinces/papua/bintuni_airport.htm,BintuniAirport,WAUB,NTI,Bintuni,
http://indonesiaairport.com/provinces/papua/fakfak_torea_airport.htm,FakfakToreaAirport,WASF,FKQ,Fakfak,
http://indonesiaairport.com/provinces/papua/airports/jayapura/index.htm,SentaniAirport,WAJJ,DJJ,Jayapura,
http://indonesiaairport.com/provinces/papua/utarom_airport.htm,UtaromAirport,WASK,KNG,Kaimana,
http://indonesiaairport.com/provinces/papua/rendani_airport.htm,RendaniAirport,WAUU,MKW,Manokwari,
http://indonesiaairport.com/provinces/papua/mopah_airport.htm,MopahAirport,WAKK,MKQ,Merauke,
http://indonesiaairport.com/provinces/papua/nabire_airport.htm,NabireAirport,WABI,NBX,NabireRegency,
http://indonesiaairport.com/provinces/papua/kornasoren_airport.htm,KornasorenAirport,WABF,FOO,Noemfoor,
http://indonesiaairport.com/provinces/papua/oksibil_airport.htm,OksibilAirport,WAJO,OKL,Oksibil,
http://indonesiaairport.com/provinces/papua/domine_eduard_osok_airport.htm,DomineEduardOsokAirport,WASS,SOQ,Sorong,
http://indonesiaairport.com/provinces/papua/mozes_kilangin_airport.htm,MozesKilanginAirport,WABP,TIM,Timika,
http://indonesiaairport.com/provinces/papua/wasior_airport.htm,WasiorAirport,WAUW,WSR,Wasior,
http://indonesiaairport.com/provinces/papua/wamena_airport.htm,WamenaAirport,WAVV,WMX,Wamena,
,,,,,
