url,AirportName,ICAO,IATA,CityServed,
http://indonesiaairport.com/provinces/java/bawean_airport.htm,BaweanAirport,,BXW,Bawean,
http://indonesiaairport.com/airports/bandung/index.htm,HuseinSastranegaraIntlAirport,WICC,BDO,Bandung,
http://indonesiaairport.com/provinces/java/blimbingsari_airport.htm,BlimbingsariAirport,WADY,BWX,Banyuwangi,
http://indonesiaairport.com/provinces/java/tasikmalaya_airport.htm,TasikmalayaAirport,WICM,TSY,Tasikmalaya,
http://indonesiaairport.com/provinces/java/penggung_airport.htm,PenggungAirport,WICD,CBN,Cirebon,
http://indonesiaairport.com/provinces/java/tunggul_wulung_airport.htm,TunggulWulungAirport,WAHL,CXP,Cilacap,
http://indonesiaairport.com/airports/jakarta2/index.htm,HalimPerdanakusumaIntlAirport,WIHH,HLP,Jakarta,
http://indonesiaairport.com/airports/jakarta1/index.htm,SoekarnoHattaInternationalAirport,WIII,CGK,Jakarta,
http://indonesiaairport.com/provinces/java/pondok_cabe_airport.htm,PondokCabeAirport,WIHP,PCB,SouthTangerang,
http://indonesiaairport.com/provinces/java/notohadinegoro_airport.htm,NotohadinegoroAirport,WARE,JBB,Jember,
http://indonesiaairport.com/provinces/java/abdul_rachman_saleh_airport.htm,AbdulRachmanSalehAirport,WARA,MLG,Malang,
http://indonesiaairport.com/provinces/java/cijulang_nusawiru_airport.htm,CijulangNusawiruAirport,WI1A,CJN,Pangandaran,
http://indonesiaairport.com/airports/semarang/index.htm,AchmadYaniInternationalAirport,WARS,SRG,Semarang,
http://indonesiaairport.com/airports/surabaya/index.htm,JuandaInternationalAirport,WARR,SUB,Surabaya,
http://indonesiaairport.com/provinces/java/adisumarmo_airport.htm,AdisumarmoInternationalAirport,WAHQ,SOC,SurakartaSoloCity,
http://indonesiaairport.com/airports/yogyakarta/index.htm,AdisuciptoInternationalAirport,WAHH,JOG,Yogyakarta,
http://indonesiaairport.com/provinces/java/trunojoyo_airport.htm,TrunojoyoAirport,WART,SUP,Sumenep,
,,,,,
