url,AirportName,ICAO,IATA,CityServed,
http://indonesiaairport.com/airports/balikpapan/index.htm,SultanAjiMuhammadSulaimanAirport,WALL,BPN,Balikpapan,
http://indonesiaairport.com/airports/banjarmasin/index.htm,SyamsudinNoorAirport,WAOO,BDJ,Banjarmasin,
http://indonesiaairport.com/provinces/kalimantan/gusti_syamsir_alam_airport.htm,GustiSyamsirAlamAirport,WAOK,KBU,Stagen,
http://indonesiaairport.com/provinces/kalimantan/kalimarau_airport.htm,KalimarauAirport,WAQT,BEJ,TanjungRedep,
http://indonesiaairport.com/provinces/kalimantan/pt_badak_bontang_airport.htm,PTBadakBontangAirport,WALC,BXT,Bontang,
http://indonesiaairport.com/provinces/kalimantan/datah_dawai_airport.htm,DatahDawaiAirport,WALJ,DTD,DatahDawai,
http://indonesiaairport.com/provinces/kalimantan/rahadi_osman_airport.htm,RahadiOsmanAirport,WIOK,KTG,Ketapang,
http://indonesiaairport.com/provinces/kalimantan/long_apung_airport.htm,LongApungAirport,WAQL,LPU,LongApung,
http://indonesiaairport.com/provinces/kalimantan/juvai_semaring_airport.htm,JuvaiSemaringAirport,WAQJ,LBW,LongBawan,
http://indonesiaairport.com/provinces/kalimantan/robert_atty_bessing_airport.htm,RobertAttyBessingAirport,WALM,MLN,Malinau,
http://indonesiaairport.com/provinces/kalimantan/melalan_airport.htm,MelalanAirport,WALE,MLK,Melak,
http://indonesiaairport.com/provinces/kalimantan/beringin_airport.htm,BeringinAirport,WAOM,MTW,MuaraTeweh,
http://indonesiaairport.com/provinces/kalimantan/nunukan_airport.htm,NunukanAirport,WAQA,NNX,Nunukan,
http://indonesiaairport.com/provinces/kalimantan/tjilik_riwut_airport.htm,TjilikRiwutAirport,WAGG,PKY,PalangkaRaya,
http://indonesiaairport.com/provinces/kalimantan/iskandar_airport.htm,IskandarAirport,WAGI,PKN,Pangkalanbun,
http://indonesiaairport.com/airports/pontianak/index.htm,SupadioAirport,WIOO,PNK,Pontianak,
http://indonesiaairport.com/provinces/kalimantan/pangsuma_airport.htm,PangsumaAirport,WIOP,PSU,Putussibau,
,SamarindaInternationalAirport,,,Samarinda,
,TemindungAirport,WALS,SRI,Samarinda,
http://indonesiaairport.com/airports/sampit/index.htm,SampitAirport,WAGS,SMQ,Sampit,
http://indonesiaairport.com/provinces/kalimantan/sintang_airport.htm,SintangAirport,WIOS,SQG,Sintang,
http://indonesiaairport.com/provinces/kalimantan/tanjung_harapan_airport.htm,TanjungHarapanAirport,WAQD,TJS,TanjungSelor,
http://indonesiaairport.com/provinces/kalimantan/juwata_airport.htm,JuwataInternationalAirport,WAQQ,TRK,Tarakan,
,,,,,
