url,AirportName,ICAO,IATA,CityServed,
http://indonesiaairport.com/provinces/lesser_sunda_islands/haliwen_airport.htm,HaliwenAirport,WATA,ABU,Atambua,
http://indonesiaairport.com/provinces/lesser_sunda_islands/sultan_muhammad_salahuddin_airport.htm,SultanMuhammadSalahuddinAirport,WADB,BMU,Bima,
http://indonesiaairport.com/airports/bali/index.htm,NgurahRaiInternationalAirport,WADD,DPS,Denpasar,
http://indonesiaairport.com/provinces/lesser_sunda_islands/ende_airport.htm,EndeAirport,WATE,ENE,Ende,
http://indonesiaairport.com/provinces/lesser_sunda_islands/el_tari_airport.htm,ElTariInternationalAirport,WATT,KOE,Kupang,
http://indonesiaairport.com/provinces/lesser_sunda_islands/komodo_airport.htm,KomodoAirport,WATO,LBJ,LabuanBajo,
http://indonesiaairport.com/airports/mataram/index.htm,LombokPrayaInternationalAirport,WADL,LOP,Mataram,
http://indonesiaairport.com/provinces/lesser_sunda_islands/frans_xavier_seda_airport.htm,FransXavierSedaAirport,WATC,MOF,Maumere,
http://indonesiaairport.com/provinces/lesser_sunda_islands/tardamu_airport.htm,TardamuAirport,WATS,SAU,SavuIsland,
http://indonesiaairport.com/provinces/lesser_sunda_islands/sultan_muhammad_kaharuddin_airport.htm,SultanMuhammadKaharuddinIIIAirport,WADS,SWQ,SumbawaBesar,
http://indonesiaairport.com/provinces/lesser_sunda_islands/tambolaka_airport.htm,TambolakaAirport,WATK,TMC,Waikabubak,
http://indonesiaairport.com/provinces/lesser_sunda_islands/umbu_mehang_kunda_airport.htm,UmbuMehangKundaAirport,WATU,WGP,Waingapu,
,,,,,
