url,AirportName,ICAO,IATA,CityServed,
http://indonesiaairport.com/provinces/sulawesi/betoambari_airport.htm,BetoambariAirport,WAWB,BUW,BauBau,
http://indonesiaairport.com/provinces/sulawesi/djalaluddin_airport.htm,DjalaluddinAirport,WAMG,GTO,GorontaloCity,
http://indonesiaairport.com/provinces/sulawesi/haluoleo_airport.htm,HaluoleoAirport,WAWW,KDI,Kendari,
http://indonesiaairport.com/provinces/sulawesi/sangia_nibandera_airport.htm,SangiaNibanderaAirport,WAWP,PUM,KolakaRegency,
http://indonesiaairport.com/airports/makassar/index.htm,SultanHasanuddinInternationalAirport,WAAA,UPG,Makassar,
http://indonesiaairport.com/provinces/sulawesi/tampa_padang_airport.htm,TampaPadangAirport,WAAJ,MJU,Mamuju,
http://indonesiaairport.com/airports/manado/index.htm,SamRatulangiInternationalAirport,WAMM,MDC,Manado,
http://indonesiaairport.com/provinces/sulawesi/andi_jemma_airport.htm,AndiJemmaAirport,WAWN,MXB,Masamba,
http://indonesiaairport.com/provinces/sulawesi/melangguane_airport.htm,MelangguaneAirport,WAMN,MNA,Melonguane,
http://indonesiaairport.com/provinces/sulawesi/naha_airport.htm,NahaAirport,WAMH,NAH,Naha,
http://indonesiaairport.com/provinces/sulawesi/mutiara_sis_al-jufrie_airport.htm,MutiaraSISAlJufrieAirport,WAFF,PLW,Palu,
http://indonesiaairport.com/provinces/sulawesi/kasiguncu_airport.htm,KasiguncuAirport,WAMP,PSJ,Poso,
http://indonesiaairport.com/provinces/sulawesi/palopo_lagaligo_airport.htm,PalopoLagaligoAirport,WAFD,LLO,LuwuRegency,
http://indonesiaairport.com/provinces/sulawesi/h_aroeppala_airport.htm,HAroeppalaAirport,WAWH,KSR,SelayarRegency,
http://indonesiaairport.com/provinces/sulawesi/tanjung_api_airport.htm,TanjungApiAirport,,,TojoUnaUnaRegency,
,,,,,
