url,AirportName,ICAO,IATA,CityServed,
http://indonesiaairport.com/provinces/sumatra/sultan_iskandar_muda_airport.htm,SultanIskandarMudaIntlAirport,WITT,BTJ,BandaAceh,
http://indonesiaairport.com/provinces/sumatra/radin_inten_ii_airport.htm,RadinIntenIIInternationalAirport,WILL,TKG,BandarLampung,
http://indonesiaairport.com/provinces/sumatra/lasondre_airport.htm,LasondreAirport,WIMO,LSE,BatuIslands,
http://indonesiaairport.com/provinces/sumatra/fatmawati_soekarno_airport.htm,FatmawatiSoekarnoAirport,WIGG,BKS,Bengkulu,
http://indonesiaairport.com/provinces/sumatra/binaka_airport.htm,BinakaAirport,WIMB,GNS,GunungSitoli,
http://indonesiaairport.com/provinces/sumatra/sultan_thaha_airport.htm,SultanThahaAirport,WIJJ,DJB,JambiCity,
http://indonesiaairport.com/provinces/sumatra/silampari_airport.htm,SilampariAirport,WIPB,LLG,Lubuklinggau,
http://indonesiaairport.com/airports/medan/index.htm,KualanamuInternationalAirport,WIMM,KNO,Medan,
,SoewondoAirForceBase,WIMK,MES,Medan,
http://indonesiaairport.com/airports/padang/index.htm,MinangkabauInternationalAirport,WIEE,PDG,Padang,
,TabingAirForceBase,WIMG,,Padang,
http://indonesiaairport.com/provinces/sumatra/aek_godang_airport.htm,AekGodangAirport,WIME,AEG,PadangSidempuan,
http://indonesiaairport.com/airports/palembang/index.htm,SultanMahmudBadaruddinIIIntlAirport,WIPP,PLM,Palembang,
http://indonesiaairport.com/provinces/sumatra/depati_amir_airport.htm,DepatiAmirAirport,WIPK,PGK,PangkalPinang,
http://indonesiaairport.com/provinces/sumatra/sibisa_airport.htm,SibisaAirport,WIMP,SIW,ParapatTobaSamosir,
http://indonesiaairport.com/provinces/sumatra/ferdinand_lumban_tobing_airport.htm,FerdinandLumbanTobingAirport,WIMS,FLZ,Sibolga,
http://indonesiaairport.com/provinces/sumatra/silangit_airport.htm,SilangitAirport,WIMN,DTB,SiborongBorong,
http://indonesiaairport.com/provinces/sumatra/pusako_anak_nagari_airport.htm,PusakoAnakNagariAirport,,,SimpangAmpek,
http://indonesiaairport.com/provinces/sumatra/lasikin_airport.htm,LasikinAirport,WITGWIML,SNX,Sinabang,
http://indonesiaairport.com/provinces/sumatra/rokot_airport.htm,RokotAirport,WIBR,RKI,Sipora,
http://indonesiaairport.com/provinces/sumatra/cut_nyak_dhien_airport.htm,CutNyakDhienAirport,WITC,MEQ,SukaMakmue,
http://indonesiaairport.com/provinces/sumatra/takengon_rembele_airport.htm,TakengonRembeleAirport,WITK,TXE,Takengon,
http://indonesiaairport.com/provinces/sumatra/h_a_s_hanandjoeddin_airport.htm,HASHanandjoeddinAirport,WIKT,TJQ,TanjungPandan,
,,,,,
